Feature,Coefficient,Importance
dependents_No,-2.3533654480043205,2.3533654480043205
onlinebackup_Yes,-2.35638115836933,2.35638115836933
paymentmethod_Electronic check,-2.3684309511800588,2.3684309511800588
multiplelines_Yes,-2.374096870717115,2.374096870717115
onlinesecurity_Yes,-2.474533718573398,2.474533718573398
seniorcitizen_Yes,-2.5228621514520966,2.5228621514520966
techsupport_Yes,-2.5269718917132344,2.5269718917132344
multiplelines_No,-2.5660486816894132,2.5660486816894132
gender_Male,-2.596645418685524,2.596645418685524
contract_One year,-2.6149040654536964,2.6149040654536964
gender_Female,-2.6312330522187546,2.6312330522187546
seniorcitizen_No,-2.634252595077477,2.634252595077477
partner_No,-2.6382693498731604,2.6382693498731604
paymentmethod_Mailed check,-2.684143823258931,2.684143823258931
partner_Yes,-2.6929021630168357,2.6929021630168357
dependents_Yes,-2.7552835462545473,2.7552835462545473
paymentmethod_Bank transfer (automatic),-2.8371973151169536,2.8371973151169536
paymentmethod_Credit card (automatic),-3.0416474457519502,3.0416474457519502
contract_Two year,-3.1031869321925307,3.1031869321925307
tenure,-3.8692029771005054,3.8692029771005054
